com.jelcyn.zdzich;4;Zdzich4;Zdzich4 compiler toolset (generating DOS COM files)
com.jelcyn.zdzich;5;Zdzich5;Zdzich5 compiler toolset (generating MZ EXE files)
pl.celones.clavis-ega;0.1.0;Celones Clavis EGA Font for DOS;Clean font for MS-DOS text mode
